TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Semana 4 - Cerrar PDR y preparar el CDR @CDR @PDR @VantaDB,Rango: 4 al 10 de mayo de 2026. Entregable esperado: paquete PDR aprobado y preparacion formal del diseño detallado. Pertenece a: cierre de Fase B e inicio de Fase C.,,1,3,eros.messy (51896887),,10 May 2026,en,America/Caracas,,,,
task,Semana 5 - Ejecutar CDR y abrir arquitectura base @Arquitectura @CDR @VantaDB,Rango: 11 al 17 de mayo de 2026. Entregable esperado: base de diseño detallado por modulo y apertura del bloque de arquitectura base. Pertenece a: cierre de Fase C e inicio de Fase D.,,1,3,eros.messy (51896887),,17 May 2026,en,America/Caracas,,,,
task,Semana 6 - Estabilizar arquitectura base @Arquitectura @VantaDB,"Rango: 18 al 24 de mayo de 2026. Entregable esperado: desacople del core, perfil dev fast, limpieza de naming y avance fuerte de arquitectura base. Pertenece a: Fase D - Arquitectura base post-PDR.",,1,3,eros.messy (51896887),,24 May 2026,en,America/Caracas,,,,
task,Semana 7 - Cerrar arquitectura base @Arquitectura @VantaDB,"Rango: 25 al 31 de mayo de 2026. Entregable esperado: telemetria mas confiable, estrategia de backend validada y arquitectura base lista para construir MVP. Pertenece a: cierre de Fase D.",,1,3,eros.messy (51896887),,31 May 2026,en,America/Caracas,,,,
task,Semana 8 - Iniciar implementacion base del MVP @Producto @VantaDB,Rango: 1 al 7 de junio de 2026. Entregable esperado: modelo canonico definido y namespaces en construccion. Pertenece a: Fase E - Implementacion base del MVP.,,2,3,eros.messy (51896887),,07 Jun 2026,en,America/Caracas,,,,
task,Semana 9 - Consolidar el nucleo funcional del MVP @Producto @VantaDB,Rango: 8 al 14 de junio de 2026. Entregable esperado: API minima con WAL y recovery en avance o cerrada. Pertenece a: Fase E - Implementacion base del MVP.,,2,3,eros.messy (51896887),,14 Jun 2026,en,America/Caracas,,,,
task,Semana 10 - Completar operacion base del MVP @Producto @VantaDB,"Rango: 15 al 21 de junio de 2026. Entregable esperado: rebuild ANN, export/import y SDK minimo usable. Pertenece a: cierre de Fase E.",,2,3,eros.messy (51896887),,21 Jun 2026,en,America/Caracas,,,,
task,Semana 11 - Ejecutar suite de brutalidad y recovery @QA @VantaDB,"Rango: 22 al 28 de junio de 2026. Entregable esperado: escenarios de crash, replay, restart y recovery validados o documentados. Pertenece a: Fase F - Validacion y salida del ciclo.",,1,3,eros.messy (51896887),,28 Jun 2026,en,America/Caracas,,,,
task,Semana 12 - Revisar KPIs y decidir salida del ciclo @Producto @QA @VantaDB,"Rango: 29 de junio al 5 de julio de 2026. Entregable esperado: KPIs actualizados, estado real del MVP, gaps pendientes y decision informada sobre salida o extension controlada. Pertenece a: cierre de Fase F.",,2,3,eros.messy (51896887),,05 Jul 2026,en,America/Caracas,,,,
,,,,,,,,,,,,,,
section,Control del ciclo,,False,,,,,,,,,,,
task,Revision semanal VantaDB @Gobierno @VantaDB,"Objetivo: imponer una cadencia de control semanal que mantenga foco y evite expansion desordenada. Cada revision debe dejar visibles: 3 tareas criticas siguientes, bloqueadores, deuda nueva, riesgos abiertos, desviaciones del roadmap y decisiones que requieren cierre. Notion: crear pagina recurrente o template 'VantaDB / Revision semanal' con bloques: resumen de semana, tareas cerradas, tareas siguientes, bloqueadores, decisiones, riesgos, metricas y notas. Dependencias: actualizar estado de tareas y documentos antes de la revision.",,1,1,eros.messy (51896887),,every Tuesday,en,America/Caracas,,,,
task,Actualizar cada martes el top 3 de tareas criticas de la semana @Gobierno @VantaDB,Dejar visibles las tres tareas que verdaderamente deben mover el proyecto durante esa semana.,,1,2,eros.messy (51896887),,every Tuesday,en,America/Caracas,,,,
task,"Registrar bloqueadores, decisiones pendientes y riesgo activo en cada revision semanal @Gobierno @Riesgo @VantaDB","No cerrar la revision sin dejar claro que bloquea, quien decide y cual es la siguiente accion.",,1,2,eros.messy (51896887),,every Tuesday,en,America/Caracas,,,,
,,,,,,,,,,,,,,
section,SRR - Requisitos del sistema,,False,,,,,,,,,,,
task,Aprobar definicion oficial del MVP @Definicion @Gobierno @Producto @VantaDB,"Objetivo: cerrar una definicion del MVP que ya no cambie por impulsos de expansion. Debes validar si la definicion oficial, la propuesta de valor y el alcance del MVP son consistentes entre si y con la arquitectura. Como hacerlo: revisar contradicciones, ajustar wording y aprobar una version final en Notion. Notion: pagina 'VantaDB / Aprobacion del MVP' con checklist de consistencia, version final aprobada, fecha y decisiones asociadas. Depende de: definicion oficial, propuesta de valor y alcance del MVP. Desbloquea: backlog semanal y ejecucion tecnica.",,1,1,eros.messy (51896887),,19 Apr 2026,en,America/Caracas,,,,
task,Diseñar la interfaz del trait StorageBackend @Arquitectura @P0 @VantaDB,"Definir operaciones minimas, firmas, tipos de error, invariantes, capacidades obligatorias y extensiones futuras.",,1,2,eros.messy (51896887),,20 Apr 2026,en,America/Caracas,,,,
task,"Definir contrato de persistencia, WAL, recovery y snapshots para StorageBackend @Arquitectura @P0 @VantaDB",Especificar que responsabilidades son del backend y cuales pertenecen a capas superiores del core.,,1,2,eros.messy (51896887),,20 Apr 2026,en,America/Caracas,,,,
task,Aprobar backlog priorizado P0 y P1 @Gobierno @Producto @VantaDB,"Objetivo: convertir la estrategia en una secuencia de trabajo accionable y defendible. Debes ordenar tareas por impacto, dependencia y riesgo, y separar claramente P0 no negociable de P1 importante. Como hacerlo: revisar todas las tareas top level, validar dependencias y asignar semana objetivo. Notion: crear pagina 'VantaDB / Backlog priorizado' con vistas por prioridad, fase, semana y area. Cada item debe tener: objetivo, dependencia, salida esperada, criterio de aceptacion y referencia documental. Depende de: MVP aprobado, decisiones estrategicas y roadmap 90 dias. Desbloquea: ejecucion semanal.",,1,1,eros.messy (51896887),,22 Apr 2026,en,America/Caracas,,,,
task,Consolidar analisis de necesidades y problema del sistema @P0 @Producto @SRR @VantaDB,"Traducir el problema de mercado y de producto en necesidades reales del sistema, actores y escenarios de uso prioritarios.",,1,2,eros.messy (51896887),,21 Apr 2026,en,America/Caracas,,,,
task,Redactar requisitos funcionales del sistema @P0 @Producto @SRR @VantaDB,"Expresar capacidades del sistema en formato revisable, con criterio observable y sin ambiguedad de producto o hype.",,1,2,eros.messy (51896887),,22 Apr 2026,en,America/Caracas,,,,
task,Redactar requisitos no funcionales del sistema @Arquitectura @P0 @SRR @VantaDB,"Cubrir durabilidad, recovery, performance, observabilidad, portabilidad, DX y simplicidad operativa con criterios verificables.",,1,2,eros.messy (51896887),,22 Apr 2026,en,America/Caracas,,,,
task,"Definir restricciones, supuestos y criterios de aceptacion del sistema @P0 @Producto @SRR @VantaDB","Dejar claros limites de fase, restricciones tecnicas, dependencias y condiciones de aceptacion del baseline de requisitos.",,1,2,eros.messy (51896887),,22 Apr 2026,en,America/Caracas,,,,
task,Aprobar SRR de VantaDB @P0 @Producto @SRR @VantaDB,"Objetivo: validar que los requisitos del sistema son claros, completos, consistentes, viables y trazables antes de entrar al diseño preliminar. Debes revisar gaps, contradicciones, dependencias externas, riesgos de alcance y criterios de salida. Notion: en la pagina 'VantaDB / SRR - System Requirements Review' agregar seccion de aprobacion con checklist, observaciones, decisiones y version aprobada. Dependencias: paquete SRR preparado y backlog ajustado a requisitos. Desbloquea: Preparar PDR.",,1,1,eros.messy (51896887),,24 Apr 2026,en,America/Caracas,,,,
task,Preparar checklist de revision del SRR @P0 @SRR @VantaDB,"Verificar completitud, consistencia, viabilidad, trazabilidad y ausencia de contradicciones con el MVP aprobado.",,1,2,eros.messy (51896887),,24 Apr 2026,en,America/Caracas,,,,
task,Revisar gaps y contradicciones del baseline de requisitos @P0 @Riesgo @SRR @VantaDB,"No aprobar el SRR si hay ambiguedades entre requisito, alcance del MVP, no objetivos o narrativa del producto.",,1,2,eros.messy (51896887),,24 Apr 2026,en,America/Caracas,,,,
task,Congelar baseline de requisitos version 1.0 @P0 @SRR @VantaDB,"Marcar version aprobada, fecha, responsables y condiciones para reabrir el SRR.",,1,2,eros.messy (51896887),,24 Apr 2026,en,America/Caracas,,,,
,,,,,,,,,,,,,,
section,PDR - Review de arquitectura preliminar,,False,,,,,,,,,,,
task,Definir arquitectura de alto nivel y bloques principales del sistema @Arquitectura @P0 @PDR @VantaDB,"Describir core, storage canonico, indices derivados, query layer, SDK y server wrapper como mapa de arquitectura preliminar.",,1,2,eros.messy (51896887),,05 May 2026,en,America/Caracas,,,,
task,Definir interfaces externas y contratos principales @Arquitectura @P0 @PDR @VantaDB,"Identificar API minima, SDK Python, CLI, archivos, storage y cualquier interfaz externa relevante para el PDR.",,1,2,eros.messy (51896887),,06 May 2026,en,America/Caracas,,,,
task,Documentar alternativas de arquitectura y justificar descartes @Arquitectura @P0 @PDR @VantaDB,"Incluir decisiones como embedded first, Fjall vs RocksDB, core/server split y riesgos de cada alternativa.",,1,2,eros.messy (51896887),,07 May 2026,en,America/Caracas,,,,
task,Aprobar PDR de VantaDB @Arquitectura @P0 @PDR @VantaDB,"Objetivo: validar que la arquitectura preliminar cumple los requisitos, es tecnicamente viable y justifica pasar a diseño detallado sin ambiguedad estructural. Debes revisar trazabilidad SRR -> arquitectura, riesgos abiertos, decisiones pendientes y brechas de interfaz o de coherencia. Notion: en la pagina 'VantaDB / PDR - Preliminary Design Review' agregar seccion de aprobacion con checklist, observaciones, decisiones, cambios requeridos y version aprobada. Dependencias: paquete PDR preparado. Desbloquea: preparar CDR y especificacion detallada.",,1,1,eros.messy (51896887),,09 May 2026,en,America/Caracas,,,,
task,Preparar checklist de revision del PDR @P0 @PDR @VantaDB,"Verificar coherencia con el SRR, viabilidad tecnica, fronteras core/server, interfaces y riesgos abiertos.",,1,2,eros.messy (51896887),,09 May 2026,en,America/Caracas,,,,
task,Revisar observaciones criticas de arquitectura antes de aprobar @P0 @PDR @Riesgo @VantaDB,"No aprobar si hay dependencias estructurales mal resueltas, interfaces ambiguas o trazabilidad incompleta al SRR.",,1,2,eros.messy (51896887),,09 May 2026,en,America/Caracas,,,,
,,,,,,,,,,,,,,
section,Post-PDR - Diseño detallado e implementacion base,,False,,,,,,,,,,,
task,* Bloque 1 - CDR,Aqui viven las tareas de diseño detallado posterior al PDR. Este bloque define como se baja la arquitectura aprobada a especificaciones detalladas por modulo.,,1,1,eros.messy (51896887),,,,America/Caracas,,,,
task,Identificar modulos que requieren diseño detallado post-PDR @Arquitectura @CDR @VantaDB,"Separar storage, modelo canonico, mutacion, WAL/recovery, interfaces, SDK y busqueda como modulos de especificacion detallada.",,2,3,eros.messy (51896887),,12 May 2026,en,America/Caracas,,,,
task,Definir que artefactos van al paquete de CDR @Arquitectura @CDR @VantaDB,"Listar especificaciones de bajo nivel, diagramas por modulo, contratos internos, esquemas de datos y checklist de validacion.",,2,3,eros.messy (51896887),,14 May 2026,en,America/Caracas,,,,
task,* Bloque 2 - Arquitectura base,"Aqui viven las tareas de estabilizacion tecnica base posteriores al PDR: desacople, perfiles de desarrollo, naming, telemetria y base de backend.",,1,1,eros.messy (51896887),,,,America/Caracas,,,,
task,Definir cambios de Cargo profiles y flags para dev fast @Arquitectura @P0 @VantaDB,"Documentar exactamente que se cambia, por que y que tradeoff se acepta en desarrollo.",,1,3,eros.messy (51896887),,24 Apr 2026,en,America/Caracas,,,,
task,Medir build actual vs objetivo del perfil dev fast @Arquitectura @P0 @VantaDB,Capturar tiempos de compilacion y friccion actual antes de tocar configuraciones para tener linea base.,,1,3,eros.messy (51896887),,23 Apr 2026,en,America/Caracas,,,,
task,Identificar fuentes y unidades de metricas de memoria actuales @Arquitectura @P0 @Riesgo @VantaDB,Ubicar de donde sale cada numero de RAM y detectar posibles errores de conversion o de alcance.,,1,3,eros.messy (51896887),,27 Apr 2026,en,America/Caracas,,,,
task,"Diseñar tabla de metricas por subsistema: core, indice, page cache, mmap y buffers @Arquitectura @P0 @VantaDB",Separar claramente memoria propia del proceso de memoria atribuida al sistema o al backend.,,1,3,eros.messy (51896887),,28 Apr 2026,en,America/Caracas,,,,
task,Comparar flujo local FjallBackend vs RocksDbBackend @Arquitectura @P0 @VantaDB,"Evaluar friccion de build, experiencia local, simplicidad y continuidad operativa.",,1,3,eros.messy (51896887),,01 May 2026,en,America/Caracas,,,,
task,* Bloque 3 - Implementacion base del MVP,"Aqui viven las tareas que construyen la base funcional del MVP: modelo canonico, namespaces, API minima, rebuild, export/import y SDK minimo usable.",,1,1,eros.messy (51896887),,,,America/Caracas,,,,
task,"Definir campos, invariantes y estados del modelo canonico @Arquitectura @P0 @Producto @VantaDB","No dejar campos vagos: especificar tipos, relaciones, visibilidad, versionado y estados de consistencia.",,1,3,eros.messy (51896887),,05 May 2026,en,America/Caracas,,,,
task,Definir semantica y ejemplos reales de namespaces @P0 @Producto @VantaDB,"Usar casos como user, org, agent y project para validar aislamiento y formato.",,1,3,eros.messy (51896887),,07 May 2026,en,America/Caracas,,,,
task,Definir contrato de put/get/delete/list con secuencia de mutacion @Arquitectura @P0 @VantaDB,"Especificar orden de escritura, errores, estados intermedios y visibilidad tras recovery.",,1,3,eros.messy (51896887),,13 May 2026,en,America/Caracas,,,,
task,Diseñar proceso de rebuild ANN y validacion posterior @Arquitectura @P0 @VantaDB,"Definir entradas, salida esperada, evidencia de consistencia y limites aceptados.",,1,3,eros.messy (51896887),,18 May 2026,en,America/Caracas,,,,
,,,,,,,,,,,,,,
section,Evolucion posterior del producto,,False,,,,,,,,,,,
,,,,,,,,,,,,,,
section,QA y validacion del ciclo,,False,,,,,,,,,,,
task,Mantener registro vivo de riesgos tecnicos @Arquitectura @Riesgo @VantaDB,"Objetivo: mantener visibles los riesgos que realmente pueden romper el producto o desviar el roadmap. Debes registrar sintomas, probabilidad, impacto, mitigacion, owner y estado. Como hacerlo: usar una base de riesgos viva conectada al backlog y a las decisiones tecnicas. Notion: crear base 'VantaDB / Riesgos tecnicos' con campos: riesgo, categoria, probabilidad, impacto, mitigacion, dependencias, owner, ultima revision y estado. Debe incluir: divergencia documento indices, backend acoplado, telemetria falsa, dualidad embedded server y benchmark invalido. Depende de: revision semanal. Desbloquea: control serio del proyecto.",,1,1,eros.messy (51896887),,every Tuesday,en,America/Caracas,,,,
task,Revisar KPIs y criterio de salida del MVP @Producto @QA @VantaDB,"Objetivo: medir el proyecto con señales de producto real y no solo con intuicion tecnica. Debes definir y revisar instalacion a primera consulta util, p95 p99, throughput de ingesta, tiempo de recovery, bytes por vector o chunk, rebuild ANN y consistencia de memoria reportada. Como hacerlo: convertir cada KPI en metrica medible, fuente de datos, frecuencia de revision y umbral de salida. Notion: crear pagina 'VantaDB / KPIs y salida del MVP' con bloques: KPI, definicion, formula, fuente, frecuencia, meta y estado actual. Depende de: telemetria confiable y suite de recovery. Desbloquea: salida objetiva del ciclo.",,2,1,eros.messy (51896887),,01 Jul 2026,en,America/Caracas,,,,
task,"Definir ficha de KPI con formula, fuente, frecuencia y meta @Producto @QA @VantaDB",No dejar KPIs vagos; cada uno debe poder medirse y compararse contra una meta concreta.,,2,2,eros.messy (51896887),,30 Jun 2026,en,America/Caracas,,,,
,,,,,,,,,,,,,,
